Treatment,Temperature,Genotype,Repetition,11,18,26,32,40,47,54,Root weight,Fresh  weight ,Dry weight
PRI,T1,NANT,3,0,2,3,4,4,4,6,37.48,13.75,5
PRI,T1,ROBILA,3,1,2,3,4,4,5,7,27.41,17.93,6.47
PRI,T1,DEEP,3,2,3,4,4,4,4,5,91.22,41.03,10.58
PRI,T1,OXHELLA,3,1,2,3,4,4,4,6,95.08,30.06,7.12
PRI,T1,PRESTO,3,1,4,4,4,5,5,6,84.55,16.63,5.40
PRI,T2,NEVA,3,1,2,3,3,3,3,4,49.71,16.18,5.25
PRI,T2,NANT,3,0,1,2,3,3,3,4,31.06,15.52,4.99
PRI,T2,ROBILA,3,1,1,1,3,4,4,4,49.13,25.24,7
PRI,T2,DEEP,3,2,3,3,4,4,4,4,58.42,31.65,7.65
PRI,T2,OXHELLA,3,1,2,3,3,3,4,5,72.52,37.63,7.92
PRI,T2,PRESTO,3,2,2,3,3,4,4,5,98.1,22.32,6
PRI,T3,NEVA,3,1,2,3,3,3,3,5,103.74,25.6,7.05
PRI,T3,NANT,3,0,2,3,3,3,3,5,55.39,22.23,6.11
PRI,T3,ROBILA,3,0,1,3,3,3,3,5,103.52,41.6,11.83
PRI,T3,DEEP,3,2,3,2,3,3,4,6,88.83,51.52,12.59
PRI,T3,OXHELLA,3,0,1,2,2,2,3,5,72.85,25.13,6.54
PRI,T3,PRESTO,3,2,3,4,4,4,5,6,67.95,18.91,5.38
Water,T0,NEVA,4,4,4,5,6,6,6,7,104,23.74,7.16
Water,T0,NANT,4,4,5,5,6,6,6,7,30.13,9.7,4.33
Water,T0,ROBILA,4,4,4,5,6,6,6,7,34.52,17.21,5.95
Water,T0,DEEP,4,4,5,5,6,6,6,6,58.04,28.66,7.44
Water,T0,OXHELLA,4,4,5,5,6,6,6,7,46.79,18.85,5.51
Water,T0,PRESTO,4,4,5,6,6,6,7,7,98.55,21.09,6.32
Water,T1,NEVA,4,2,4,4,4,5,6,7,49.49,14.8,4.84
Water,T1,NANT,4,0,3,3,4,4,5,7,38.93,14.4,5.22
Water,T1,ROBILA,4,2,3,3,4,5,6,7,54.8,29.77,8.26
Water,T1,DEEP,4,3,4,4,4,5,6,7,79.14,33,8.21
Water,T1,OXHELLA,4,0,5,4,4,5,6,7,37.23,15.84,5.02
Water,T1,PRESTO,4,3,4,5,5,6,6,7,105,24.34,6.66
Water,T2,NEVA,4,2,3,4,5,6,6,6,95.21,23.83,6.97
Water,T2,NANT,4,1,2,3,4,4,4,6,34.84,15.64,5.15
Water,T2,ROBILA,4,2,2,4,5,5,5,6,57.63,26.62,7.18
Water,T2,DEEP,4,3,4,4,5,5,5,6,35.61,16.36,5.33
Water,T2,OXHELLA,4,1,3,3,3,4,5,6,40.5,16.9,5.36
Water,T2,PRESTO,4,3,3,4,5,6,6,7,109.18,20.07,6.08
Water,T3,NEVA,4,3,3,4,4,4,4,6,64.41,16.82,5.46
Water,T3,NANT,4,2,2,3,4,4,4,5,21.83,11.8,4.43
